Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Afghanistan,AFG,153.951,150.192,146.433,143.7648,141.0966,133.092,126.633,120.174,113.715,107.256,100.797,94.429,88.061,81.693,75.325
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Albania,ALB,19.0372,18.9396,18.842,18.765,18.688,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.5124,20.2948,20.0772,19.8596
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Algeria,DZA,11.7556,10.7178,9.68,9.6814,9.6828,9.687,10.0608,10.4346,10.8084,11.1822,11.556,11.259,10.962,10.665,10.368
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Angola,AGO,196.6992,194.7656,192.832,190.5114,188.1908,181.229,178.4632,175.6974,172.9316,170.1658,167.4,164.0252,160.6504,157.2756,153.9008
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Antigua and Barbuda,ATG,61.9748,60.8384,59.702,57.9936,56.2852,51.16,50.328,49.496,48.664,47.832,47,46.1564,45.3128,44.4692,43.6256
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,66.3552,65.2066,64.058,63.834,63.61,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Armenia,ARM,39.3926,35.8928,32.393,31.4714,30.5498,27.785,27.1964,26.6078,26.0192,25.4306,24.842,24.1716,23.5012,22.8308,22.1604
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Aruba,ABW,43.593,42.356,41.119,39.6676,38.2162,33.862,32.792,31.722,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,17.9326,17.4258,16.919,16.9552,16.9914,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Austria,AUT,13.9232,13.6346,13.346,12.9022,12.4584,11.127,10.5944,10.0618,9.5292,8.9966,8.464,8.2392,8.0144,7.7896,7.5648
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Azerbaijan,AZE,36.5066,34.5648,32.623,33.7954,34.9678,38.485,40.636,42.787,44.938,47.089,49.24,50.5596,51.8792,53.1988,54.5184
