Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Afghanistan,AFG,1,..,..,..,..,1.5,..,..,..,..,1.4,..,..,..,..,1.5,1.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Albania,ALB,3.5,..,..,..,..,5.7,..,..,..,..,6.1,..,..,..,..,4.4,4.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Algeria,DZA,2.5,..,..,..,..,2.2,..,..,..,..,1.8,..,..,..,..,1.7,1.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Angola,AGO,4,..,..,..,..,3.7,..,..,..,..,2.8,..,..,..,..,2.6,2.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Antigua and Barbuda,ATG,0.1,..,..,..,..,0,..,..,..,..,0,..,..,..,..,1.5,0.9,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Argentina,ARG,3.7,..,..,..,..,3.9,..,..,..,..,3.3,..,..,..,..,3.4,3.5,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Armenia,ARM,1.3,..,..,..,..,1.7,..,..,..,..,2.4,..,..,..,..,3,2.8,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Australia,AUS,6.1,..,..,..,..,6,..,..,..,..,6.3,..,..,..,..,7.2,7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Austria,AUT,10.5,..,..,..,..,8.6,..,..,..,..,7.5,..,..,..,..,7.5,7.7,..,..,..,..
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,Azerbaijan,AZE,0.9,..,..,..,..,1.3,..,..,..,..,1.2,..,..,..,..,1.1,1.1,..,..,..,..
