target,ids,date,flag,user,text,procesado
NEGATIVE,2014943573,Wed Jun 03 03:11:56 PDT 2009,NO_QUERY,bexodus,"@MissScion Fell asleep around 9p last night woke up at around 2a.   Canada, BC at least, is so pretty!  Haven't had time to take pics tho.","['fell', 'asleep', 'around', 'last', 'night', 'woke', 'around', 'canada', 'least', 'pretty', 'time', 'take', 'pics', 'tho']"
POSITIVE,1971796339,Sat May 30 07:55:06 PDT 2009,NO_QUERY,sazmataz_x,@katie_andhearts going in town later to get my prom shoes and other things lol ,"['going', 'town', 'late', 'get', 'prom', 'shoes', 'things', 'lol']"
POSITIVE,1978132662,Sat May 30 22:31:29 PDT 2009,NO_QUERY,Deasoy,happy day ,"['happy', 'day']"
NEGATIVE,1679901725,Sat May 02 10:26:43 PDT 2009,NO_QUERY,SashaPanda,Tummy Hurts  Stupid Stress,"['tummy', 'hurts', 'stupid', 'stress']"
NEGATIVE,2055154954,Sat Jun 06 08:48:06 PDT 2009,NO_QUERY,LianeGentrySkye,@jodywallace  Are you at the LF event?  I haven't seen you. ,"['event', 'seen']"
POSITIVE,2066500448,Sun Jun 07 10:38:18 PDT 2009,NO_QUERY,darkrumblog,"@Fleshworks Excellent, very good indeed!  Am posting it now.","['excellent', 'good', 'indeed', 'posting']"
POSITIVE,2001267352,Tue Jun 02 00:20:21 PDT 2009,NO_QUERY,primetheus,sigh ... what i would give to be on a beach somewhere ,"['sigh', 'would', 'give', 'beach', 'somewhere']"
POSITIVE,2178458794,Mon Jun 15 07:43:55 PDT 2009,NO_QUERY,emfeha,Check my new twitter background. Portfolio v5 style. Hope you like it ,"['check', 'new', 'twitter', 'background', 'portfolio', 'style', 'hope', 'like']"
POSITIVE,1792192715,Wed May 13 22:24:34 PDT 2009,NO_QUERY,Alex_Manchester,"@collabguy Very interesting.  I can't touch type properly, but can see how it would be faster than qwerty. Might give it a go.","['interesting', 'touch', 'type', 'properly', 'see', 'would', 'fast', 'qwerty', 'might', 'give']"
NEGATIVE,2302731266,Tue Jun 23 17:13:02 PDT 2009,NO_QUERY,YarnThing,@iambrianna did you leave it on my cell? I can't find it   so no...what's up?,"['leave', 'cell', 'find']"
NEGATIVE,2047799782,Fri Jun 05 14:11:57 PDT 2009,NO_QUERY,Chicagogirl1996,The most wonderful thing happend today are car broke down. ,"['wonderful', 'thing', 'happend', 'today', 'car', 'broke']"
POSITIVE,1556066548,Sat Apr 18 21:32:15 PDT 2009,NO_QUERY,spencerfordad,Lyndsay hasent twittered in a while seeing as this week has been super hectic but the good news is i got 26/28 on my science quiz  love ya,"['lyndsay', 'hasent', 'twittered', 'seeing', 'week', 'super', 'hectic', 'good', 'news', 'got', 'science', 'quiz', 'love']"
POSITIVE,2060992431,Sat Jun 06 19:58:27 PDT 2009,NO_QUERY,kayleehatcher,Drinking with meg Alyse Sarah and new people! ,"['drinking', 'meg', 'alyse', 'sarah', 'new', 'people']"
POSITIVE,2063909726,Sun Jun 07 04:32:51 PDT 2009,NO_QUERY,reblong,is so cool and only is following one person on twitter ,"['cool', 'following', 'one', 'person', 'twitter']"
NEGATIVE,2061627026,Sat Jun 06 21:15:56 PDT 2009,NO_QUERY,HOTTVampChick,@LuvinMeSomeD I was singin eminem for u earlier and u weren't hear to listen ,"['singin', 'eminem', 'early', 'hear', 'listen']"
POSITIVE,1932396808,Tue May 26 21:23:06 PDT 2009,NO_QUERY,allen099,"@bigepaz  Yes, it's a great gadget. I never read extensively before, but when I got it, I couldn't stop.","['yes', 'great', 'gadget', 'never', 'read', 'extensively', 'got', 'could', 'stop']"
POSITIVE,2053050627,Sat Jun 06 03:04:35 PDT 2009,NO_QUERY,brookedanielle_,Lovely shower that was ,"['lovely', 'shower']"
NEGATIVE,2051924696,Fri Jun 05 23:09:45 PDT 2009,NO_QUERY,pyromusic,Fine time for my computer to freeze ,"['fine', 'time', 'computer', 'freeze']"
NEGATIVE,2214841453,Wed Jun 17 17:18:30 PDT 2009,NO_QUERY,em_gx3,trying to study..physics suck ,"['trying', 'study', 'physics', 'suck']"
NEGATIVE,1881440898,Fri May 22 04:40:20 PDT 2009,NO_QUERY,KathrynBriggs,"Starting to panic about impending first semester dentistry exams - waaaa!!! And on that note, really wishing I had a photographic memory ","['starting', 'panic', 'impending', 'first', 'semester', 'dentistry', 'exams', 'waaaa', 'note', 'really', 'wishing', 'photographic', 'memory']"
POSITIVE,2072090964,Sun Jun 07 20:23:09 PDT 2009,NO_QUERY,janicepcheng,@aronsolomon I love how you always get my names wrong.. it's janicepcheng. But you're welcome - glad you're enjoying your room ,"['love', 'always', 'get', 'names', 'wrong', 'janicepcheng', 'welcome', 'glad', 'enjoying', 'room']"
POSITIVE,1693560707,Sun May 03 22:57:32 PDT 2009,NO_QUERY,lexprigo,just ran a couple of miles .. feels good to run at 10 p.m near the water in belmont ,"['ran', 'couple', 'miles', 'feels', 'good', 'run', 'near', 'water', 'belmont']"
NEGATIVE,1753798580,Sun May 10 03:30:30 PDT 2009,NO_QUERY,RetroGreeb,Wishes Her Mum Would Let Her Buy Two Hamsters As I Have Enough. ,"['wishes', 'mum', 'would', 'let', 'buy', 'two', 'hamsters', 'enough']"
POSITIVE,2177243535,Mon Jun 15 05:44:40 PDT 2009,NO_QUERY,minx9999,@nocturnal08 Cute cake! ,"['cute', 'cake']"
NEGATIVE,2044347056,Fri Jun 05 09:13:30 PDT 2009,NO_QUERY,RaqC,Up and running early! Headed 2 court 2 get a damn extention on this speeding tix I got! Noooooo rainy friday!!!  let's make it a great day,"['running', 'early', 'headed', 'court', 'get', 'damn', 'extention', 'speeding', 'tix', 'got', 'noooooo', 'rainy', 'friday', 'let', 'make', 'great', 'day']"
NEGATIVE,2013088601,Tue Jun 02 21:53:43 PDT 2009,NO_QUERY,JessRiva,Is icing my shoulder and it's not fun in this weather. ,"['icing', 'shoulder', 'fun', 'weather']"
NEGATIVE,1881610205,Fri May 22 05:07:13 PDT 2009,NO_QUERY,MJLOZ,@kyleandjackieo Thanks for posting that.  A lil crushed though....  ,"['thanks', 'posting', 'lil', 'crushed', 'though']"
POSITIVE,1822323657,Sat May 16 19:18:39 PDT 2009,NO_QUERY,ReasonWhy214,@priscillaknarly no isnt stupid.....see ,"['isnt', 'stupid', 'see']"
POSITIVE,1969594339,Sat May 30 00:33:03 PDT 2009,NO_QUERY,leechbabe,@Chiloe_  Winning the lottery would be fantastic ,"['winning', 'lottery', 'would', 'fantastic']"
NEGATIVE,2204027282,Wed Jun 17 01:08:03 PDT 2009,NO_QUERY,williams1993,Feels like crap! Im such an eejit sometimes! ,"['feels', 'like', 'crap', 'eejit', 'sometimes']"
NEGATIVE,2177896649,Mon Jun 15 06:52:49 PDT 2009,NO_QUERY,abztract,not having any luck finding cheap flights to LA from NYC.  Everything is over $400.  ,"['luck', 'finding', 'cheap', 'flights', 'nyc', 'everything']"
NEGATIVE,2245159695,Fri Jun 19 15:44:24 PDT 2009,NO_QUERY,Phyle_D,Still at work and it seems like 5 hours have passed since I mentioned the time was crawling yet it's only been an hour! ,"['still', 'work', 'seems', 'like', 'hours', 'passed', 'since', 'mentioned', 'time', 'crawling', 'yet', 'hour']"
NEGATIVE,1676216492,Fri May 01 21:24:39 PDT 2009,NO_QUERY,TheRedgiester,@step_up_steph its fine. I don't know if ill get mine. They leave in 30 minutes &amp; it usually takes 45 minutes from where I'm standing at ,"['fine', 'know', 'ill', 'get', 'mine', 'leave', 'minutes', 'amp', 'usually', 'takes', 'minutes', 'standing']"
POSITIVE,2014795190,Wed Jun 03 02:42:46 PDT 2009,NO_QUERY,aussiegirl_1996,Got the WORST migraine at skool 2day.A bit dramatic I no but it hurt!Had 2 go home early ,"['got', 'bad', 'migraine', 'skool', 'bit', 'dramatic', 'hurt', 'home', 'early']"
POSITIVE,1830924852,Sun May 17 17:51:31 PDT 2009,NO_QUERY,aka55,@jodikicksass  #whocangetit @jodikicksass there.  that was easy.  ,"['whocangetit', 'easy']"
NEGATIVE,2069829003,Sun Jun 07 16:36:11 PDT 2009,NO_QUERY,BrandonBurpee,@ognightmix no go on mighty muggs. ,"['mighty', 'muggs']"
NEGATIVE,1755124505,Sun May 10 08:19:22 PDT 2009,NO_QUERY,CLAiireex,listernin to music .. HATE revision ,"['listernin', 'music', 'hate', 'revision']"
NEGATIVE,2007776769,Tue Jun 02 13:08:09 PDT 2009,NO_QUERY,BuddhaBad,My favourite shorts ripped on me ,"['favourite', 'shorts', 'ripped']"
POSITIVE,2048072672,Fri Jun 05 14:37:13 PDT 2009,NO_QUERY,krystyl,"For a low low price of $35,000.00 you too can have a hammock this cool! http://bit.ly/kUUI7  Im buying one as soon as I send this tweet ","['low', 'low', 'price', 'hammock', 'cool', 'buying', 'one', 'soon', 'send', 'tweet']"
NEGATIVE,1827977285,Sun May 17 11:50:21 PDT 2009,NO_QUERY,SimsDL,@tszcheetah cant install it ,"['cant', 'install']"
NEGATIVE,1973090641,Sat May 30 10:28:03 PDT 2009,NO_QUERY,MrsMac8808,Peach flavored white tea not a good choice...making my tummy hurt ,"['peach', 'flavored', 'white', 'tea', 'good', 'choice', 'making', 'tummy', 'hurt']"
NEGATIVE,2061007073,Sat Jun 06 20:00:06 PDT 2009,NO_QUERY,ads4vt,@felicia__nicole sorry that one is blurry ,"['sorry', 'one', 'blurry']"
POSITIVE,1966485578,Fri May 29 17:51:17 PDT 2009,NO_QUERY,ramendoodles,I need to learn the words to The Saga Begins so i can sing along with Miss American Pie comes on at work  all i currently know is the  ...,"['need', 'learn', 'words', 'saga', 'begins', 'sing', 'along', 'miss', 'american', 'pie', 'comes', 'work', 'currently', 'know']"
POSITIVE,1979183763,Sun May 31 01:58:36 PDT 2009,NO_QUERY,FjordsEcho,@Stilfire okay.  have fun! I'll talk to you in a week. We're on our way to the airport. &lt;3,"['okay', 'fun', 'talk', 'week', 'way', 'airport']"
POSITIVE,1825304603,Sun May 17 05:11:40 PDT 2009,NO_QUERY,Beckie211,Cant wait for tonight. Off for a lovely chinese with my lovely boyfriend ,"['cant', 'wait', 'tonight', 'lovely', 'chinese', 'lovely', 'boyfriend']"
POSITIVE,2048412860,Fri Jun 05 15:09:33 PDT 2009,NO_QUERY,trammiele,@teeCao lol tammy had it up while I tried signing in. Gchat/ aim works for me  How is the new job?,"['lol', 'tammy', 'tried', 'signing', 'aim', 'works', 'new', 'job']"
NEGATIVE,1983596849,Sun May 31 13:27:46 PDT 2009,NO_QUERY,allora,@Gastro1 just checked out their site..the closest shop is in berlin  too far away,"['checked', 'site', 'close', 'shop', 'berlin', 'far', 'away']"
NEGATIVE,2241802099,Fri Jun 19 11:23:54 PDT 2009,NO_QUERY,clintonjeff,@khouryrt I wish I had an N97 to drop  Stoopid douche-y Kuwait Nokia people lol,"['wish', 'drop', 'stoopid', 'kuwait', 'nokia', 'people', 'lol']"
POSITIVE,1558823209,Sun Apr 19 09:30:06 PDT 2009,NO_QUERY,ohangie,@marieiris @fashionbitch Thanks girls!   Things are starting to look up!,"['thanks', 'girls', 'things', 'starting', 'look']"
NEGATIVE,2217968547,Wed Jun 17 21:40:13 PDT 2009,NO_QUERY,AmberSafa,"@zachflauaus when people make ridiculous statements like that in the name of a movement, it just undermines the movement ","['people', 'make', 'ridiculous', 'statements', 'like', 'name', 'movement', 'undermines', 'movement']"
POSITIVE,1932636599,Tue May 26 21:53:01 PDT 2009,NO_QUERY,josi101,"ok, NOW i'm leaving! good night (hopefully i say it 4 the last time) lol! bye  xoxo","['leaving', 'good', 'night', 'hopefully', 'say', 'last', 'time', 'lol', 'bye', 'xoxo']"
POSITIVE,1684849864,Sat May 02 22:14:18 PDT 2009,NO_QUERY,KBernice,PACQUIAO! Hatton got owned! Second round too! ,"['pacquiao', 'hatton', 'got', 'owned', 'second', 'round']"
NEGATIVE,1556698930,Sat Apr 18 23:56:07 PDT 2009,NO_QUERY,yyusuff,"@noreenramli Oh babe!! Drove past Pink Sage today,think we saw you but we left a different way so couldn't pop in to say hello ","['babe', 'drove', 'past', 'pink', 'sage', 'today', 'think', 'saw', 'left', 'different', 'way', 'could', 'pop', 'say', 'hello']"
POSITIVE,1986305144,Sun May 31 18:38:41 PDT 2009,NO_QUERY,kriistennnxx31,"robert, once again!  &lt;3",['robert']
NEGATIVE,2066820884,Sun Jun 07 11:13:55 PDT 2009,NO_QUERY,Alica87,"@bubblything Dear, I'm so sorry, I forgot that you can't understand my german &quot;goodbye&quot;  How are you?","['dear', 'sorry', 'forgot', 'understand', 'german', 'quot', 'goodbye', 'quot']"
POSITIVE,1558476616,Sun Apr 19 08:29:41 PDT 2009,NO_QUERY,_mira_,Good morning tweeters ,"['good', 'morning', 'tweeters']"
POSITIVE,2001701421,Tue Jun 02 01:46:30 PDT 2009,NO_QUERY,Rohan_01,@swatkatt sending u through direct msg.... lets see wat u got.... ,"['sending', 'direct', 'msg', 'lets', 'see', 'wat', 'got']"
